,feature,value,model,dataset
7045,ENSG00000140961,0.05399645289782464,cBoost,pData_Imputed
4176,ENSG00000117228,0.04953355897262801,cBoost,pData_Imputed
14567,ENSG00000213676,0.04015971910379059,cBoost,pData_Imputed
3418,ENSG00000111196,0.036208065758129786,cBoost,pData_Imputed
4844,ENSG00000124159,0.03126502890208658,cBoost,pData_Imputed
6981,ENSG00000140443,0.029754595245719023,cBoost,pData_Imputed
13411,ENSG00000187801,0.025148937343451538,cBoost,pData_Imputed
15318,ENSG00000282608,0.025006554734615032,cBoost,pData_Imputed
7915,ENSG00000148300,0.021960953035553933,cBoost,pData_Imputed
12221,ENSG00000178904,0.02078617195789252,cBoost,pData_Imputed
3090,ENSG00000107882,0.020165274334226484,cBoost,pData_Imputed
4275,ENSG00000122641,8.360796939586672,cBoost,Intersection
10519,ENSG00000175063,5.179229586500369,cBoost,Intersection
1185,ENSG00000078098,4.072355884758011,cBoost,Intersection
1469,ENSG00000087586,3.5625965324146045,cBoost,Intersection
13181,ENSG00000273706,2.995244732089836,cBoost,Intersection
3121,ENSG00000111206,2.8092485830623124,cBoost,Intersection
10730,ENSG00000177058,2.734732409623933,cBoost,Intersection
3858,ENSG00000117594,2.6247820817454324,cBoost,Intersection
1481,ENSG00000088325,2.480182959724945,cBoost,Intersection
8465,ENSG00000162891,2.397719258524641,cBoost,Intersection
2012,ENSG00000100994,2.3091499307457477,cBoost,Intersection
5167,ENSG00000131747,2.291672089353545,cBoost,Intersection
6983,ENSG00000146477,2.1468550699160653,cBoost,Intersection
11025,ENSG00000180011,2.1362433795942453,cBoost,Intersection
1156,ENSG00000077254,1.9958702785078712,cBoost,Intersection
9819,ENSG00000170035,1.9137454964981657,cBoost,Intersection
3395,ENSG00000113448,1.8833948388911224,cBoost,Intersection
9602,ENSG00000168765,1.795271122316738,cBoost,Intersection
7664,ENSG00000154330,1.7731207405056737,cBoost,Intersection
8252,ENSG00000160991,1.651718153170972,cBoost,Intersection
6892,ENSG00000145721,1.61156959079757,cBoost,Intersection
5483,ENSG00000134443,1.5505927676216318,cBoost,Intersection
8782,ENSG00000164185,1.4634079576097925,cBoost,Intersection
6159,ENSG00000139044,1.459666892453685,cBoost,Intersection
4697,ENSG00000126733,1.4332190677666183,cBoost,Intersection
1744,ENSG00000099260,1.431059370157371,cBoost,Intersection
40,ENSG00000004468,1.3422443683066254,cBoost,Intersection
12313,ENSG00000197555,1.3225432495303397,cBoost,Intersection
5796,ENSG00000136546,1.3069887308812647,cBoost,Intersection
6660,ENSG00000143553,1.2656881039084784,cBoost,Intersection
1046,ENSG00000073849,1.142932832891603,cBoost,Intersection
9667,ENSG00000169122,1.1212074554384066,cBoost,Intersection
2103,ENSG00000101473,1.0160219879976287,cBoost,Intersection
12036,ENSG00000189143,0.9999192765767602,cBoost,Intersection
10482,ENSG00000174776,0.9860598044928305,cBoost,Intersection
7472,ENSG00000152229,0.9850721364906719,cBoost,Intersection
5302,ENSG00000132840,0.9590853547372304,cBoost,Intersection
938,ENSG00000070540,0.9109560330835105,cBoost,Intersection
10141,ENSG00000171936,0.9020434570708298,cBoost,Intersection
8810,ENSG00000164307,0.8886506000840201,cBoost,Intersection
8767,ENSG00000164142,0.8458170035133972,cBoost,Intersection
4814,ENSG00000128272,0.8321835146833271,cBoost,Intersection
5366,ENSG00000133422,0.8261045928031654,cBoost,Intersection
5766,ENSG00000136319,0.8169201067652138,cBoost,Intersection
3891,ENSG00000118113,0.8140770341195095,cBoost,Intersection
6056,ENSG00000138190,0.8094348097793028,cBoost,Intersection
6295,ENSG00000140259,0.8080639471590142,cBoost,Intersection
7263,ENSG00000149534,0.7624732593746247,cBoost,Intersection
9963,ENSG00000170921,0.7613364024144235,cBoost,Intersection
10484,ENSG00000174788,0.6661662136339147,cBoost,Intersection
12029,ENSG00000189079,0.6300920989885829,cBoost,Intersection
13024,ENSG00000242173,0.6046505834140896,cBoost,Intersection
3471,ENSG00000114302,0.5898890136858127,cBoost,Intersection
11309,ENSG00000182973,0.5879551607514049,cBoost,Intersection
6553,ENSG00000142798,0.5659962903822808,cBoost,Intersection
11092,ENSG00000180773,0.5287346850049165,cBoost,Intersection
11109,ENSG00000180900,0.5286792825511253,cBoost,Intersection
8607,ENSG00000163577,0.48537558073354947,cBoost,Intersection
4802,ENSG00000128052,0.48000248296121784,cBoost,Intersection
2739,ENSG00000106948,0.4542948660933118,cBoost,Intersection
3256,ENSG00000112186,0.45057780874525166,cBoost,Intersection
4732,ENSG00000127184,0.4467231621155996,cBoost,Intersection
5465,ENSG00000134313,0.42658942587839305,cBoost,Intersection
5791,ENSG00000136527,0.4192757577899261,cBoost,Intersection
11321,ENSG00000183035,0.4022233584623279,cBoost,Intersection
12455,ENSG00000198435,0.36140638627549593,cBoost,Intersection
3817,ENSG00000117226,0.34174179795751986,cBoost,Intersection
3211,ENSG00000111817,0.32283076397340454,cBoost,Intersection
9450,ENSG00000167874,0.2987231464802703,cBoost,Intersection
11924,ENSG00000188064,0.2759430198064105,cBoost,Intersection
2995,ENSG00000109689,0.24614046697924366,cBoost,Intersection
3132,ENSG00000111261,0.23049870377768833,cBoost,Intersection
8685,ENSG00000163873,0.1881039724515704,cBoost,Intersection
7322,ENSG00000150625,0.17696251800138113,cBoost,Intersection
8774,ENSG00000164168,0.17607019734854437,cBoost,Intersection
9217,ENSG00000166501,0.1686504255883656,cBoost,Intersection
10982,ENSG00000179593,0.14623853069213974,cBoost,Intersection
9785,ENSG00000169876,0.1319645124415853,cBoost,Intersection
4151,ENSG00000120937,0.12105717414660994,cBoost,Intersection
2651,ENSG00000106144,0.057172836848301115,cBoost,Intersection
2,GLEASON_SCORE,70.59015318438475,cBoost,pData
0,TISSUE,18.63595949715583,cBoost,pData
3,PRE_OPERATIVE_PSA,8.195472314237046,cBoost,pData
1,AGE,2.5784150042224017,cBoost,pData
1057,ENSG00000074181,4.316494156968631,cBoost,pData_Intersection
2,GLEASON_SCORE,3.620034500695997,cBoost,pData_Intersection
6958,ENSG00000146205,2.3745544545252635,cBoost,pData_Intersection
3356,ENSG00000112984,2.0236735486972197,cBoost,pData_Intersection
8307,ENSG00000161800,1.8445360796967045,cBoost,pData_Intersection
5950,ENSG00000137558,1.72269431375503,cBoost,pData_Intersection
6896,ENSG00000145721,1.5434939086897181,cBoost,pData_Intersection
2928,ENSG00000108924,1.5058436208744852,cBoost,pData_Intersection
2697,ENSG00000106483,1.4367427590917565,cBoost,pData_Intersection
7879,ENSG00000156970,1.432358102382455,cBoost,pData_Intersection
12746,ENSG00000205221,1.3892049150192185,cBoost,pData_Intersection
3399,ENSG00000113448,1.308222277627868,cBoost,pData_Intersection
2575,ENSG00000105664,1.2924952966902825,cBoost,pData_Intersection
5454,ENSG00000134250,1.2634114058595702,cBoost,pData_Intersection
3839,ENSG00000117419,1.2613964883939055,cBoost,pData_Intersection
1854,ENSG00000100219,1.2435780733199948,cBoost,pData_Intersection
7412,ENSG00000151503,1.1973032144821283,cBoost,pData_Intersection
3833,ENSG00000117399,1.1753184884408832,cBoost,pData_Intersection
10136,ENSG00000171862,1.1272303057058686,cBoost,pData_Intersection
6605,ENSG00000143294,1.0603157767619038,cBoost,pData_Intersection
6661,ENSG00000143546,0.9818289255831018,cBoost,pData_Intersection
9680,ENSG00000169180,0.9505537616652218,cBoost,pData_Intersection
3438,ENSG00000113805,0.9144110055888978,cBoost,pData_Intersection
2235,ENSG00000102755,0.9142392033426141,cBoost,pData_Intersection
8807,ENSG00000164292,0.9137970461852416,cBoost,pData_Intersection
11744,ENSG00000186340,0.8966010957653096,cBoost,pData_Intersection
5730,ENSG00000136100,0.8950717088236225,cBoost,pData_Intersection
9752,ENSG00000169607,0.8638860672257105,cBoost,pData_Intersection
4611,ENSG00000125834,0.8549009699413215,cBoost,pData_Intersection
8280,ENSG00000161328,0.8441491020611621,cBoost,pData_Intersection
3068,ENSG00000110492,0.8190988407124334,cBoost,pData_Intersection
10986,ENSG00000179593,0.8043222780691622,cBoost,pData_Intersection
2703,ENSG00000106538,0.8042465816995804,cBoost,pData_Intersection
4249,ENSG00000122218,0.7901065258785066,cBoost,pData_Intersection
7468,ENSG00000152137,0.7819807833870208,cBoost,pData_Intersection
9539,ENSG00000168310,0.7766440541530502,cBoost,pData_Intersection
5808,ENSG00000136636,0.7652045206615503,cBoost,pData_Intersection
11315,ENSG00000182983,0.7645994852001025,cBoost,pData_Intersection
6211,ENSG00000139354,0.763646242291351,cBoost,pData_Intersection
10411,ENSG00000174038,0.7557548800084677,cBoost,pData_Intersection
7668,ENSG00000154330,0.7076644886859164,cBoost,pData_Intersection
12537,ENSG00000198792,0.6712822604629968,cBoost,pData_Intersection
11264,ENSG00000182552,0.6600425809839879,cBoost,pData_Intersection
2373,ENSG00000104147,0.6598568106168227,cBoost,pData_Intersection
7833,ENSG00000156463,0.6576338894059466,cBoost,pData_Intersection
5068,ENSG00000130827,0.653876292653724,cBoost,pData_Intersection
8771,ENSG00000164142,0.647970139967245,cBoost,pData_Intersection
9670,ENSG00000169118,0.6457185303229062,cBoost,pData_Intersection
2917,ENSG00000108821,0.6416372862420034,cBoost,pData_Intersection
1992,ENSG00000100842,0.6293660552325656,cBoost,pData_Intersection
8700,ENSG00000163909,0.6193385329065857,cBoost,pData_Intersection
3806,ENSG00000117069,0.6178552807709098,cBoost,pData_Intersection
9244,ENSG00000166685,0.6159326803464582,cBoost,pData_Intersection
5356,ENSG00000133243,0.6137599221335013,cBoost,pData_Intersection
9715,ENSG00000169371,0.6102259384860721,cBoost,pData_Intersection
13095,ENSG00000253729,0.6086899307225262,cBoost,pData_Intersection
10442,ENSG00000174371,0.6015430982995875,cBoost,pData_Intersection
11266,ENSG00000182568,0.5947912956374719,cBoost,pData_Intersection
6235,ENSG00000139618,0.5904225012394073,cBoost,pData_Intersection
9500,ENSG00000168079,0.582037828248291,cBoost,pData_Intersection
1717,ENSG00000096060,0.5702055695276785,cBoost,pData_Intersection
6159,ENSG00000138834,0.5678552266851894,cBoost,pData_Intersection
10542,ENSG00000175198,0.5550989915591019,cBoost,pData_Intersection
884,ENSG00000068654,0.549514386979019,cBoost,pData_Intersection
9858,ENSG00000170312,0.5419500318113453,cBoost,pData_Intersection
11891,ENSG00000187730,0.5394797081201209,cBoost,pData_Intersection
6074,ENSG00000138356,0.5204638678266112,cBoost,pData_Intersection
12352,ENSG00000197757,0.5062782367393259,cBoost,pData_Intersection
11701,ENSG00000185950,0.49684062455682815,cBoost,pData_Intersection
10222,ENSG00000172500,0.4945320438090212,cBoost,pData_Intersection
1439,ENSG00000086991,0.4846645296190884,cBoost,pData_Intersection
4238,ENSG00000122042,0.4840644757840765,cBoost,pData_Intersection
12467,ENSG00000198478,0.4602578104595357,cBoost,pData_Intersection
8192,ENSG00000160396,0.4523150420643687,cBoost,pData_Intersection
260,ENSG00000012048,0.4500812061896172,cBoost,pData_Intersection
4017,ENSG00000119681,0.44375973269924857,cBoost,pData_Intersection
363,ENSG00000023697,0.43563537630402166,cBoost,pData_Intersection
11276,ENSG00000182667,0.433818610595833,cBoost,pData_Intersection
665,ENSG00000058729,0.4273279400407592,cBoost,pData_Intersection
11010,ENSG00000179886,0.42332962717946854,cBoost,pData_Intersection
7103,ENSG00000147655,0.4174451950029103,cBoost,pData_Intersection
5302,ENSG00000132821,0.4135889775072306,cBoost,pData_Intersection
2208,ENSG00000102362,0.4013356090029019,cBoost,pData_Intersection
12002,ENSG00000188803,0.3978804140911698,cBoost,pData_Intersection
6721,ENSG00000143995,0.38937522401847163,cBoost,pData_Intersection
11753,ENSG00000186432,0.38880520770267896,cBoost,pData_Intersection
5539,ENSG00000134874,0.38853345817351326,cBoost,pData_Intersection
2728,ENSG00000106772,0.3861637715941055,cBoost,pData_Intersection
7499,ENSG00000152443,0.3847200947201147,cBoost,pData_Intersection
3244,ENSG00000112077,0.37522336963730846,cBoost,pData_Intersection
4097,ENSG00000120437,0.3649324946505358,cBoost,pData_Intersection
9822,ENSG00000170027,0.36109324529483444,cBoost,pData_Intersection
11530,ENSG00000184697,0.3537348426630457,cBoost,pData_Intersection
10327,ENSG00000173269,0.35323258152087184,cBoost,pData_Intersection
9509,ENSG00000168143,0.3520807790952926,cBoost,pData_Intersection
3009,ENSG00000109805,0.3506566732522371,cBoost,pData_Intersection
1366,ENSG00000084453,0.3433901869837628,cBoost,pData_Intersection
10507,ENSG00000174943,0.3377405434511773,cBoost,pData_Intersection
5582,ENSG00000135218,0.33740737586616004,cBoost,pData_Intersection
1618,ENSG00000091583,0.3341658562479833,cBoost,pData_Intersection
4720,ENSG00000126883,0.3317683369516421,cBoost,pData_Intersection
8423,ENSG00000162688,0.32695239108177715,cBoost,pData_Intersection
3812,ENSG00000117139,0.32285388188207026,cBoost,pData_Intersection
7404,ENSG00000151470,0.3180495694017996,cBoost,pData_Intersection
538,ENSG00000048342,0.3145660608292689,cBoost,pData_Intersection
5497,ENSG00000134516,0.3086167561925841,cBoost,pData_Intersection
1189,ENSG00000078098,0.30672403142144194,cBoost,pData_Intersection
1572,ENSG00000090447,0.2999862252239134,cBoost,pData_Intersection
1459,ENSG00000087266,0.2962043407732993,cBoost,pData_Intersection
4922,ENSG00000129484,0.29305164761160285,cBoost,pData_Intersection
4846,ENSG00000128591,0.2921470465598685,cBoost,pData_Intersection
11137,ENSG00000181192,0.2918528189783758,cBoost,pData_Intersection
4256,ENSG00000122335,0.2901944211002315,cBoost,pData_Intersection
1544,ENSG00000089685,0.282234065320762,cBoost,pData_Intersection
11091,ENSG00000180739,0.279238143387999,cBoost,pData_Intersection
2750,ENSG00000107021,0.2768453164347578,cBoost,pData_Intersection
10690,ENSG00000176635,0.27113700550651265,cBoost,pData_Intersection
7476,ENSG00000152229,0.2703169160986186,cBoost,pData_Intersection
3525,ENSG00000114796,0.26857211038685,cBoost,pData_Intersection
2396,ENSG00000104368,0.26747221354126444,cBoost,pData_Intersection
12430,ENSG00000198203,0.2617725061677022,cBoost,pData_Intersection
5574,ENSG00000135116,0.25846431573577044,cBoost,pData_Intersection
4692,ENSG00000126561,0.2540088680581234,cBoost,pData_Intersection
5154,ENSG00000131584,0.2498638419527445,cBoost,pData_Intersection
10012,ENSG00000171189,0.24573766502148872,cBoost,pData_Intersection
3462,ENSG00000114120,0.24289233725848722,cBoost,pData_Intersection
627,ENSG00000055163,0.23901272364071494,cBoost,pData_Intersection
12017,ENSG00000188959,0.2388946711067211,cBoost,pData_Intersection
12073,ENSG00000196104,0.23888445390527172,cBoost,pData_Intersection
3363,ENSG00000113088,0.23563981809139237,cBoost,pData_Intersection
7283,ENSG00000149633,0.23157945355554588,cBoost,pData_Intersection
1611,ENSG00000091428,0.2288600943526096,cBoost,pData_Intersection
2805,ENSG00000107796,0.2270535483501259,cBoost,pData_Intersection
12744,ENSG00000205213,0.21357411321892214,cBoost,pData_Intersection
12845,ENSG00000213639,0.21346514443383288,cBoost,pData_Intersection
9088,ENSG00000165887,0.20953712988561038,cBoost,pData_Intersection
5342,ENSG00000133110,0.20778289272569062,cBoost,pData_Intersection
7223,ENSG00000149091,0.2051828865101038,cBoost,pData_Intersection
11927,ENSG00000188056,0.2033866950526367,cBoost,pData_Intersection
4317,ENSG00000123095,0.2020833226352994,cBoost,pData_Intersection
10084,ENSG00000171574,0.19837156169243517,cBoost,pData_Intersection
6029,ENSG00000138069,0.19517248077058633,cBoost,pData_Intersection
9812,ENSG00000169972,0.19483641117227854,cBoost,pData_Intersection
1427,ENSG00000086544,0.1871974816930596,cBoost,pData_Intersection
8434,ENSG00000162728,0.18706351065361387,cBoost,pData_Intersection
4407,ENSG00000124140,0.1849992694753112,cBoost,pData_Intersection
10296,ENSG00000173068,0.18377737535173735,cBoost,pData_Intersection
1010,ENSG00000072609,0.18346689529369745,cBoost,pData_Intersection
4026,ENSG00000119714,0.1834652989645811,cBoost,pData_Intersection
2978,ENSG00000109445,0.18306377786175576,cBoost,pData_Intersection
3328,ENSG00000112699,0.18302155101388126,cBoost,pData_Intersection
873,ENSG00000068305,0.17898156500722873,cBoost,pData_Intersection
2149,ENSG00000101911,0.17828488489353142,cBoost,pData_Intersection
4585,ENSG00000125731,0.1730444464241163,cBoost,pData_Intersection
12095,ENSG00000196199,0.17248400601854508,cBoost,pData_Intersection
10928,ENSG00000179041,0.17215595793804758,cBoost,pData_Intersection
1695,ENSG00000095380,0.1708965937397015,cBoost,pData_Intersection
10699,ENSG00000176723,0.16765360163100645,cBoost,pData_Intersection
9934,ENSG00000170743,0.1662586519905675,cBoost,pData_Intersection
7855,ENSG00000156675,0.15989599639248292,cBoost,pData_Intersection
13107,ENSG00000254997,0.15580946001087184,cBoost,pData_Intersection
1099,ENSG00000075340,0.152744123169048,cBoost,pData_Intersection
2124,ENSG00000101670,0.14982490978286922,cBoost,pData_Intersection
11399,ENSG00000183671,0.14813713028405023,cBoost,pData_Intersection
9426,ENSG00000167733,0.1479228988739335,cBoost,pData_Intersection
11533,ENSG00000184719,0.14693248634750128,cBoost,pData_Intersection
5743,ENSG00000136158,0.1451687199683986,cBoost,pData_Intersection
9795,ENSG00000169896,0.14437035452542793,cBoost,pData_Intersection
4871,ENSG00000128833,0.1434783772190103,cBoost,pData_Intersection
9077,ENSG00000165805,0.14233279106175933,cBoost,pData_Intersection
652,ENSG00000057704,0.14145233044825958,cBoost,pData_Intersection
6370,ENSG00000140832,0.13788129774722904,cBoost,pData_Intersection
13045,ENSG00000243489,0.1360819946068916,cBoost,pData_Intersection
6374,ENSG00000140854,0.1334589284773464,cBoost,pData_Intersection
5327,ENSG00000133019,0.1303871217322709,cBoost,pData_Intersection
3087,ENSG00000110768,0.12934662728015253,cBoost,pData_Intersection
10433,ENSG00000174282,0.12305952869322512,cBoost,pData_Intersection
11423,ENSG00000183798,0.11597168997470914,cBoost,pData_Intersection
5393,ENSG00000133740,0.1119860123669282,cBoost,pData_Intersection
7152,ENSG00000148297,0.11189386303028427,cBoost,pData_Intersection
10596,ENSG00000175591,0.11131645212818923,cBoost,pData_Intersection
6943,ENSG00000146039,0.10548718822429325,cBoost,pData_Intersection
2128,ENSG00000101746,0.10344916148354344,cBoost,pData_Intersection
12666,ENSG00000204262,0.10293380676765494,cBoost,pData_Intersection
4378,ENSG00000123685,0.09864560935487575,cBoost,pData_Intersection
7118,ENSG00000147862,0.09799660352965554,cBoost,pData_Intersection
4565,ENSG00000125520,0.09612221713439266,cBoost,pData_Intersection
9070,ENSG00000165752,0.09546962235996237,cBoost,pData_Intersection
12450,ENSG00000198380,0.09514803473066978,cBoost,pData_Intersection
8601,ENSG00000163539,0.09409982871939077,cBoost,pData_Intersection
10890,ENSG00000178695,0.0907941761470229,cBoost,pData_Intersection
5911,ENSG00000137267,0.08835779567875286,cBoost,pData_Intersection
9510,ENSG00000168152,0.08656266717815174,cBoost,pData_Intersection
2368,ENSG00000104112,0.08245065335974847,cBoost,pData_Intersection
8193,ENSG00000160404,0.08078148824714414,cBoost,pData_Intersection
3394,ENSG00000113389,0.07761681738445333,cBoost,pData_Intersection
10959,ENSG00000179284,0.0746106923743048,cBoost,pData_Intersection
7246,ENSG00000149311,0.07366856416842887,cBoost,pData_Intersection
11113,ENSG00000180900,0.06915398775432524,cBoost,pData_Intersection
4421,ENSG00000124198,0.06578292583500644,cBoost,pData_Intersection
5014,ENSG00000130517,0.06149388818153154,cBoost,pData_Intersection
12113,ENSG00000196338,0.06037785146106185,cBoost,pData_Intersection
4724,ENSG00000126947,0.056765906202150995,cBoost,pData_Intersection
2398,ENSG00000104371,0.054488159845163794,cBoost,pData_Intersection
8934,ENSG00000164934,0.05448799320324173,cBoost,pData_Intersection
8335,ENSG00000162086,0.05403391425298587,cBoost,pData_Intersection
12928,ENSG00000221823,0.05392066192553825,cBoost,pData_Intersection
1896,ENSG00000100345,0.024398190937066248,cBoost,pData_Intersection
10379,ENSG00000173726,0.01896687750904224,cBoost,pData_Intersection
306,ENSG00000015592,0.009257471686750986,cBoost,pData_Intersection
